Epoch	LR	train_loss	val_loss	train_perf0	val_perf0	train_perf1	val_perf1	
1.000	0.040	5.340	5.097	0.083	0.125	0.214	0.304
2.000	0.040	4.720	5.010	0.151	0.166	0.318	0.347
3.000	0.040	4.495	4.794	0.171	0.166	0.367	0.374
4.000	0.040	4.372	4.789	0.186	0.185	0.390	0.380
5.000	0.040	4.268	4.573	0.197	0.202	0.405	0.430
6.000	0.004	4.095	4.476	0.225	0.227	0.439	0.453
7.000	0.004	4.050	4.427	0.232	0.235	0.445	0.449
8.000	0.004	4.028	4.377	0.248	0.250	0.455	0.453
9.000	0.004	4.003	4.360	0.233	0.249	0.459	0.466
10.000	0.004	3.986	4.383	0.247	0.252	0.465	0.453
11.000	0.000	3.969	4.381	0.243	0.243	0.464	0.457
12.000	0.000	3.922	4.377	0.252	0.256	0.472	0.459
13.000	0.000	3.937	4.379	0.250	0.254	0.474	0.457
14.000	0.000	3.915	4.372	0.255	0.252	0.470	0.457
15.000	0.000	3.934	4.374	0.249	0.252	0.474	0.461
16.000	0.000	3.978	4.375	0.248	0.252	0.466	0.459
17.000	0.000	3.922	4.374	0.255	0.256	0.478	0.457
18.000	0.000	3.939	4.371	0.243	0.254	0.466	0.457
19.000	0.000	3.951	4.370	0.245	0.250	0.466	0.459
20.000	0.000	3.957	4.377	0.248	0.254	0.469	0.461
21.000	0.000	3.977	4.368	0.243	0.254	0.465	0.464
22.000	0.000	3.976	4.374	0.247	0.250	0.460	0.457
23.000	0.000	3.975	4.361	0.243	0.254	0.463	0.461
24.000	0.000	3.966	4.374	0.246	0.254	0.462	0.455
25.000	0.000	3.954	4.373	0.249	0.252	0.468	0.455
26.000	0.000	3.983	4.369	0.247	0.258	0.468	0.455
27.000	0.000	3.949	4.360	0.250	0.254	0.468	0.464
28.000	0.000	3.944	4.370	0.244	0.252	0.467	0.457
29.000	0.000	3.913	4.361	0.255	0.254	0.471	0.461
30.000	0.000	3.945	4.365	0.253	0.258	0.468	0.461
31.000	0.000	3.949	4.364	0.250	0.256	0.466	0.461
32.000	0.000	3.936	4.367	0.243	0.258	0.469	0.459
33.000	0.000	3.941	4.364	0.254	0.258	0.471	0.461
34.000	0.000	3.939	4.358	0.245	0.256	0.473	0.455
35.000	0.000	3.969	4.368	0.248	0.258	0.462	0.459
36.000	0.000	3.911	4.363	0.259	0.254	0.473	0.461
37.000	0.000	3.973	4.360	0.247	0.260	0.460	0.457
38.000	0.000	3.938	4.365	0.253	0.258	0.468	0.459
39.000	0.000	3.964	4.369	0.255	0.258	0.468	0.462
40.000	0.000	3.977	4.355	0.249	0.254	0.468	0.457
41.000	0.000	3.931	4.368	0.248	0.262	0.473	0.459
42.000	0.000	3.951	4.363	0.244	0.256	0.468	0.455
43.000	0.000	3.914	4.360	0.253	0.252	0.478	0.459
44.000	0.000	3.925	4.360	0.246	0.256	0.470	0.464
45.000	0.000	3.961	4.361	0.249	0.260	0.466	0.462
46.000	0.000	3.937	4.362	0.254	0.262	0.467	0.459
47.000	0.000	3.959	4.359	0.255	0.258	0.468	0.461
48.000	0.000	3.948	4.366	0.254	0.256	0.477	0.457
49.000	0.000	3.973	4.358	0.250	0.262	0.462	0.461
50.000	0.000	3.982	4.359	0.249	0.256	0.464	0.461
